title,originallink,link,description,pubDate
"[산업 이모저모] SK이노 환경과학기술원, 전과정평가로 제품 생애주기 전 단계...",http://www.greened.kr/news/articleView.html?idxno=305103,http://www.greened.kr/news/articleView.html?idxno=305103,"선정된 기업은 연구개발(R&amp;D) 영역에서 국비 과제 기반 지원(최대 4년)을 받으며 금융•인력•<b>수출</b> 컨설팅... 최근 집중호우로 피해를 입은 지역의 신속한 복구를 위해 ㈜<b>LIG</b>를 비롯하여 <b>LIG넥스원</b>, <b>LIG</b>정밀기술, <b>LIG</b>시스템... ",2023-07-21
"한국산 무기, 왜 폴란드에 대거 <b>수출</b>될까",https://daily.hankooki.com/news/articleView.html?idxno=980812,https://daily.hankooki.com/news/articleView.html?idxno=980812,"방산 <b>수출</b>계약도 논의 중이다. 폴란드가 K-방산 무기를 대거 수입하는 이유는 무엇보다 &apos;성능&apos;이 뛰어나기... <b>LIG넥스원</b>은 구미1, 구미2 공장에 첨단 무기체계 시설을 증설할 예정이다. 한국항공우주산업(KAI)은 경남 사천... ",2023-07-21
"<b>LIG넥스원</b>의 무인수상정, 글로벌 시장 진출 노린다",https://economist.co.kr/article/view/ecn202307210003,https://n.news.naver.com/mnews/article/243/0000047767?sid=101,또한 K-방산의 <b>수출</b> 흐름과 함께 새로운 <b>수출</b> 품목을 얻게 하는 중요한 기회이기도 하다. 김지찬 <b>LIG넥스원</b> 대표이사는 “갈수록 복잡해질 미래전의 전투 양상과 병력자원 고갈 문제를 동시 대응하기 위해서는 Navy... ,2023-07-21
"<b>LIG넥스원</b>·풍산, 네덜란드 &apos;큰 손&apos; 블랙리스트…&quot;비인도적 무기 판매&quot;",https://biz.newdaily.co.kr/site/data/html/2023/07/21/2023072100079.html,https://biz.newdaily.co.kr/site/data/html/2023/07/21/2023072100079.html,뉴데일리 이가영 기자 = <b>LIG넥스원</b>과 풍산이 글로벌 투자 큰손의 블랙리스트에 등재되는 불명예를... 영업과 설비투자 등 기본적 기업활동은 물론 국내외 기관투자자 유치가 되지 않으면서 <b>수출</b>금융을 위한 해외 차입이... ,2023-07-21
"[IPO 프리즘] 코츠테크, 공모 임박…FI 웃음꽃 필까",https://dealsite.co.kr/articles/107201,https://dealsite.co.kr/articles/107201,"주요 고객사는 <b>LIG넥스원</b>과 한화시스템, 현대로템 등 국내 방산업체다. 무기체계별로 납품업체가 지정된... IB업계 관계자는 &quot;오랜 업력을 바탕으로 안정적인 고객사를 확보했고 K2전차 폴란드 <b>수출</b> 등 추가... ",2023-07-21
정부 &quot;하반기 美 방산시장 빗장 풀 RDP 진전된 합의 도출…K방산 세계 4대강국...,https://www.asiatoday.co.kr/view.php?key=20230720010011909,https://www.asiatoday.co.kr/view.php?key=20230720010011909,"폴란드에 <b>수출</b>된 K-2 전차와 K-9 자주포, FA-50 등 국내 대표 무기체계 전시와 다양한 부대행사가 추진될 예정이다. 한화시스템, 한화에어로스페이스, 현대로템, 기아, 한국항공우주산업(KAI), <b>LIG넥스원</b>, 휴니드, SNT, 풍산... ",2023-07-20
"방산 4사, 우상향 곡선 그린다…&apos;수주잔고 61조&apos;",http://news.bizwatch.co.kr/article/industry/2023/07/20/0019,https://n.news.naver.com/mnews/article/648/0000018064?sid=101,"현대로템, <b>LIG넥스원</b>, 한국항공우주산업(KAI) 등 방위산업(방산) 4사의 2분기 성적표에도 관심이 모인다. 지난해 방산 기업들이 일제히 터뜨린 수주 잭팟이 실적에 반영될 것으로 기대되면서다. 지난해 방산 <b>수출</b>은... ",2023-07-20
"[특화단지 선정] 구미시, 반도체 특화단지 유치 성공…간절함·노력·당위성 ...",https://news.imaeil.com/page/view/2023072001022959566,https://n.news.naver.com/mnews/article/088/0000826372?sid=101,"경북에는 LG BCM(9월 준공)·포스코퓨처엠(2차전지), 한화시스템·<b>LIG넥스원</b>(국방), LG이노텍(미래차)... 시는 반도체 펀드 조성(1천억원), 품목 다각화 및 업종 전환 지원, 이차보전, <b>수출</b>경쟁력 강화, ESG경영지원 등을 통해... ",2023-07-20
"국가안보실, 2차 방산<b>수출</b>전략평가회의 개최…<b>수출</b> 성과·현안 점검",http://www.metroseoul.co.kr/article/20230720500649,http://www.metroseoul.co.kr/article/20230720500649,"국가안보실이 방산<b>수출</b>전략을 모색하기 위한 회의를 주재하고 올해 상반기 방산 <b>수출</b>의 성과를 점검하고... (KAI), <b>LIG넥스원</b>, 휴니드, 풍산, LS엠트론 등 국내 방산기업이 참가한다. ADEX는 한미동맹 70주년 기념행사 및... ",2023-07-20
"국가안보실, 2차 방산<b>수출</b>전략회의 개최…<b>수출</b>성과 점검",http://news.einfomax.co.kr/news/articleView.html?idxno=4274386,http://news.einfomax.co.kr/news/articleView.html?idxno=4274386,"(KAI), <b>LIG넥스원</b>, 풍산, LS엠트론 등 국내 방산기업이 참가한다. 임종득 차장은 &quot;지속 가능한 방산 <b>수출</b>을 위해 국가 차원의 <b>수출</b> 목표와 전략이 마련돼야 한다&quot;며 &quot;첨단기술 중심으로 방위산업 구조를 개편하고 민관... ",2023-07-20
대통령실 &quot;K-방산 성장 논하다&quot;,http://www.newsprime.co.kr/news/article.html?no=607606,http://www.newsprime.co.kr/news/article.html?no=607606,"폴란드에 <b>수출</b>된 K-2 전차와 K9 자주포, FA-50 등 국내 대표 무기체계 전시와 다양한 부대행사가 추진된다. 또 MSPO에는 △현대로템 △한화시스템 △환화에어로스페이스 △기아 △KAI △<b>LIG넥스원</b> △휴니드 △SNT △풍산... ",2023-07-20
[에디터 인터뷰] 여성 최초로 방산기업에서 사원으로 출발해 임원까지 오른 ‘...,https://www.news2day.co.kr/article/20230718500157,https://www.news2day.co.kr/article/20230718500157,"<b>LIG넥스원</b>은 PGM, C4ISTAR 등 2개의 국내 부문과 <b>수출</b>을 담당하는 해외 부문이 있다. 사업기획관리실은 부문의 전략, 기획, 인사, 재무 등의 기능을 수행한다. 직책을 맡고 11일 차에 연두 업무보고, 한 달 뒤에 부문... ",2023-07-18
K방산 &apos;세계 4위&apos; 도약 눈앞···한화에어로·현대로템 날개 달았다,http://www.enewstoday.co.kr/news/articleView.html?idxno=2020588,http://www.enewstoday.co.kr/news/articleView.html?idxno=2020588,지난해 한국 방위산업 업계가 폴란드 <b>수출</b>을 계기로 나토(NATO)에 입성하면서 역량을 확대하고 있는... 반면 <b>LIG넥스원</b>은 2분기 매출액 5754억원을 기록해 젼년 동기에 배해 17.4% 늘 것으로 전망되지만 영업이익은 4.8... ,2023-07-18
"&apos;방산만 하는&apos; <b>LIG넥스원</b>, 최대 실적 경신하나",http://www.fnnews.com/news/202307171602380380,https://n.news.naver.com/mnews/article/014/0005043329?sid=101,매출에서 내수가 대부분을 차지했던 <b>LIG넥스원</b>은 <b>수출</b> 비중(1분기 기준 19.5%)이 20%에 육박할 정도로 성장하고 있다. 특히 <b>LIG넥스원</b>이 지난해 한화시스템과 공동으로 UAE와 체결한 4조원 규모의... ,2023-07-18
"코스피, 미국 FOMC 관망에 중국 지표 부진 겹쳐 하락…외인 삼성전자·삼성전...",http://www.topstarnews.net/news/articleView.html?idxno=15368362,http://www.topstarnews.net/news/articleView.html?idxno=15368362,"(77억원), <b>LIG넥스원</b>(75억원) 등이다. ◆ 기관 매수/매도 종목 기관 순매수 상위 종목은 삼성전기... 1분기 경제성장률인 4.5%는 넘었지만 시장 전망치(7.1%)에는 못 미친 것으로 시장은 중국이 소비·투자·<b>수출</b>... ",2023-07-17
